"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 15:42:37 PKT 2024","Mon Feb 19 15:42:41 PKT 2024","3164","All Test Suite","C:/Users/dev/Desktop/selenium_jenkins2/selenium_jenkins2","Tests.Test","Tests.Test","test1","test1",""
"passed","Mon Feb 19 15:42:41 PKT 2024","Mon Feb 19 15:42:41 PKT 2024","612","All Test Suite","C:/Users/dev/Desktop/selenium_jenkins2/selenium_jenkins2","Tests.Test","Tests.Test","test2","test2",""
